ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,3,3,6,0,6,3,5,0,6,4,
5,4,4,4,4,0,0,0,4,4,4,
10,4,4,0,0,0,0,0,0,0,4,
15,4,4,4,4,0,0,0,4,4,4,
20,0,0,4,0,0,0,0,4,0,4,
25,4,4,4,4,0,0,0,4,4,4,
30,4,0,4,0,0,0,0,4,4,4,
35,4,4,4,4,0,0,0,4,4,4,
40,4,4,0,0,0,0,0,0,0,4,
45,4,4,4,4,0,0,0,4,4,4,
50,0,0,4,0,0,0,0,0,0,4,
55,4,4,4,4,0,0,0,4,4,4,
60,0,0,0,4,0,0,0,0,0,4,
65,4,4,4,4,0,0,0,4,4,4,
70,0,0,0,4,0,0,0,4,4,4,
75,4,4,4,4,0,0,0,4,4,4,
80,0,0,4,0,0,0,0,4,4,4,
85,4,4,4,4,0,0,0,4,4,4,
90,4,4,0,0,0,0,0,0,0,4,
95,4,4,4,4,0,0,0,4,4,4,
100,0,0,4,0,0,0,0,4,4,4,
105,4,4,4,4,0,0,0,4,4,4,
110,0,4,4,0,0,0,0,0,0,4,
115,4,4,4,4,0,0,0,4,4,4,
120,0,0,4,0,0,0,0,0,0,4,
125,4,4,4,4,0,0,0,4,4,4,
130,4,4,0,0,0,0,0,4,0,4,
135,4,4,4,4,0,0,0,4,4,4,
140,4,0,0,0,0,0,0,0,4,4,
145,4,4,4,4,0,0,0,4,4,4,
150,4,4,4,0,0,0,0,4,4,4,
155,4,4,4,4,0,0,0,4,4,4,
160,0,0,0,4,0,0,0,0,4,4,
165,4,4,4,4,0,0,0,4,4,4,
170,0,0,0,0,0,0,0,4,0,4,
175,4,4,4,4,0,0,0,4,4,4,
180,4,0,0,0,0,0,0,0,0,4,
185,4,4,4,4,0,0,0,4,4,4,
190,4,0,0,0,0,0,0,4,4,4,
195,4,4,4,4,0,0,0,4,4,4,
200,0,0,0,4,0,0,0,0,0,4,
205,4,4,4,4,0,0,0,4,4,4,
210,0,0,4,0,0,0,0,0,0,4,
215,4,4,4,4,0,0,0,4,4,4,
220,4,0,4,0,0,0,0,0,0,4,
225,4,4,4,4,0,0,0,4,4,4,
230,0,0,0,0,0,0,0,0,0,4,
235,4,4,4,4,0,0,0,4,4,4,
240,0,4,0,0,0,0,0,0,4,4,
245,4,4,4,4,0,0,0,4,4,4,
250,4,0,4,0,0,0,0,0,0,4,
255,4,4,4,4,0,0,0,4,4,4,
260,4,0,0,0,0,0,0,0,0,4,
265,4,4,4,4,0,0,0,4,4,4,
270,4,4,4,4,0,0,0,0,4,4,
275,4,4,4,4,0,0,0,4,4,4,
280,0,0,0,0,0,0,0,4,0,4,
285,4,4,4,4,0,0,0,4,4,4,
290,4,0,0,0,0,0,0,0,0,4,
295,4,4,4,4,0,0,0,4,4,4,
300,4,0,0,4,0,0,0,4,4,4,
