ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,0,0,1,1,1,0,0,0,0,1,
5,0,0,0,0,0,0,0,0,0,1,
10,-1,-1,-1,-1,0,0,0,-1,-1,0,
15,0,0,0,0,0,0,0,0,0,1,
20,-1,-1,-1,-1,0,0,0,-1,-1,0,
25,0,0,0,0,0,0,0,0,0,1,
30,-1,-1,-1,-1,0,0,0,-1,-1,0,
35,0,0,0,0,0,0,0,0,0,1,
40,-1,-1,-1,-1,0,0,0,-1,-1,0,
45,0,0,0,0,0,0,0,0,0,1,
50,-1,-1,-1,-1,0,0,0,-1,-1,0,
55,0,0,0,0,0,0,0,0,0,1,
60,-1,-1,-1,-1,0,0,0,-1,-1,0,
65,0,0,0,0,0,0,0,0,0,1,
70,-1,-1,-1,-1,0,0,0,-1,-1,0,
75,0,0,0,0,0,0,0,0,0,1,
80,-1,-1,-1,-1,0,0,0,-1,-1,0,
85,0,0,0,0,0,0,0,0,0,1,
90,-1,-1,-1,-1,0,0,0,-1,-1,0,
95,0,0,0,0,0,0,0,0,0,1,
100,-1,-1,-1,-1,0,0,0,-1,-1,0,
105,0,0,0,0,0,0,0,0,0,1,
110,-1,-1,-1,-1,0,0,0,-1,-1,0,
115,0,0,0,0,0,0,0,0,0,1,
120,-1,-1,-1,-1,0,0,0,-1,-1,0,
125,0,0,0,0,0,0,0,0,0,1,
130,-1,-1,-1,-1,0,0,0,-1,-1,0,
135,0,0,0,0,0,0,0,0,0,1,
140,-1,-1,-1,-1,0,0,0,-1,-1,0,
145,0,0,0,0,0,0,0,0,0,1,
150,-1,-1,-1,-1,0,0,0,-1,-1,0,
155,0,0,0,0,0,0,0,0,0,1,
160,-1,-1,-1,-1,0,0,0,-1,-1,0,
165,0,0,0,0,0,0,0,0,0,1,
170,-1,-1,-1,-1,0,0,0,-1,-1,0,
175,0,0,0,0,0,0,0,0,0,1,
180,-1,-1,-1,-1,0,0,0,-1,-1,0,
185,0,0,0,0,0,0,0,0,0,1,
190,-1,-1,-1,-1,0,0,0,-1,-1,0,
195,0,0,0,0,0,0,0,0,0,1,
200,-1,-1,-1,-1,0,0,0,-1,-1,0,
205,0,0,0,0,0,0,0,0,0,1,
210,-1,-1,-1,-1,0,0,0,-1,-1,0,
215,0,0,0,0,0,0,0,0,0,1,
220,-1,-1,-1,-1,0,0,0,-1,-1,0,
225,0,0,0,0,0,0,0,0,0,1,
230,-1,-1,-1,-1,0,0,0,-1,-1,0,
235,0,0,0,0,0,0,0,0,0,1,
240,-1,-1,-1,-1,0,0,0,-1,-1,0,
245,0,0,0,0,0,0,0,0,0,1,
250,-1,-1,-1,-1,0,0,0,-1,-1,0,
255,0,0,0,0,0,0,0,0,0,1,
260,-1,-1,-1,-1,0,0,0,-1,-1,0,
265,0,0,0,0,0,0,0,0,0,1,
270,-1,-1,-1,-1,0,0,0,-1,-1,0,
275,0,0,0,0,0,0,0,0,0,1,
280,-1,-1,-1,-1,0,0,0,-1,-1,0,
285,0,0,0,0,0,0,0,0,0,1,
290,-1,-1,-1,-1,0,0,0,-1,-1,0,
295,0,0,0,0,0,0,0,0,0,1,
300,-1,-1,-1,-1,0,0,0,-1,-1,0,
