ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,2,1,0,4,0,5,6,5,6,5,
5,4,4,4,4,4,4,4,4,4,4,
10,4,4,4,4,4,4,4,4,4,4,
15,4,4,4,4,4,4,4,4,4,4,
20,4,4,4,4,4,4,4,4,4,4,
25,4,4,4,4,4,4,4,4,4,4,
30,4,4,4,4,4,4,4,4,4,4,
35,4,4,4,4,4,4,4,4,4,4,
40,4,4,4,4,4,4,4,4,4,4,
45,4,4,4,4,4,4,4,4,4,4,
50,4,4,4,4,4,4,4,4,4,4,
55,4,4,4,4,4,4,4,4,4,4,
60,4,4,4,4,4,4,4,4,4,4,
65,4,4,4,4,4,4,4,4,4,4,
70,4,4,4,4,4,4,4,4,4,4,
75,4,4,4,4,4,4,4,4,4,4,
80,4,4,4,4,4,4,4,4,4,4,
85,4,4,4,4,4,4,4,4,4,4,
90,4,4,4,4,4,4,4,4,4,4,
95,4,4,4,4,4,4,4,4,4,4,
100,4,4,4,4,4,4,4,4,4,4,
105,4,4,4,4,4,4,4,4,4,4,
110,4,4,4,4,4,4,4,4,4,4,
115,4,4,4,4,4,4,4,4,4,4,
120,4,4,4,4,4,4,4,4,4,4,
125,4,4,4,4,4,4,4,4,4,4,
130,4,4,4,4,4,4,4,4,4,4,
135,4,4,4,4,4,4,4,4,4,4,
140,4,4,4,4,4,4,4,4,4,4,
145,4,4,4,4,4,4,4,4,4,4,
150,4,4,4,4,4,4,4,4,4,4,
155,4,4,4,4,4,4,4,4,4,4,
160,4,4,4,4,4,4,4,4,4,4,
165,4,4,4,4,4,4,4,4,4,4,
170,4,4,4,4,4,4,4,4,4,4,
175,4,4,4,4,4,4,4,4,4,4,
180,4,4,4,4,4,4,4,4,4,4,
185,4,4,4,4,4,4,4,4,4,4,
190,4,4,4,4,4,4,4,4,4,4,
195,4,4,4,4,4,4,4,4,4,4,
200,4,4,4,4,4,4,4,4,4,4,
205,4,4,4,4,4,4,4,4,4,4,
210,4,4,4,4,4,4,4,4,4,4,
215,4,4,4,4,4,4,4,4,4,4,
220,4,4,4,4,4,4,4,4,4,4,
225,4,4,4,4,4,4,4,4,4,4,
230,4,4,4,4,4,4,4,4,4,4,
235,4,4,4,4,4,4,4,4,4,4,
240,4,4,4,4,4,4,4,4,4,4,
245,4,4,4,4,4,4,4,4,4,4,
250,4,4,4,4,4,4,4,4,4,4,
255,4,4,4,4,4,4,4,4,4,4,
260,4,4,4,4,4,4,4,4,4,4,
265,4,4,4,4,4,4,4,4,4,4,
270,4,4,4,4,4,4,4,4,4,4,
275,4,4,4,4,4,4,4,4,4,4,
280,4,4,4,4,4,4,4,4,4,4,
285,4,4,4,4,4,4,4,4,4,4,
290,4,4,4,4,4,4,4,4,4,4,
295,4,4,4,4,4,4,4,4,4,4,
300,4,4,4,4,4,4,4,4,4,4,
