ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,1,0,0,1,0,1,1,0,0,0,
5,1,1,1,1,1,1,1,1,1,0,
10,0,1,1,0,1,0,1,1,1,1,
15,1,0,0,1,0,1,0,0,0,1,
20,1,1,1,1,1,1,1,1,1,0,
25,0,1,1,0,1,0,1,1,1,1,
30,1,0,0,1,0,1,0,0,0,1,
35,1,1,1,1,1,1,1,1,1,0,
40,0,1,1,0,1,0,1,1,1,1,
45,1,0,0,1,0,1,0,0,0,1,
50,1,1,1,1,1,1,1,1,1,0,
55,0,1,1,0,1,0,1,1,1,1,
60,1,0,0,1,0,1,0,0,0,1,
65,1,1,1,1,1,1,1,1,1,0,
70,0,1,1,0,1,0,1,1,1,1,
75,1,0,0,1,0,1,0,0,0,1,
80,1,1,1,1,1,1,1,1,1,0,
85,0,1,1,0,1,0,1,1,1,1,
90,1,0,0,1,0,1,0,0,0,1,
95,1,1,1,1,1,1,1,1,1,0,
100,0,1,1,0,1,0,1,1,1,1,
105,1,0,0,1,0,1,0,0,0,1,
110,1,1,1,1,1,1,1,1,1,0,
115,0,1,1,0,1,0,1,1,1,1,
120,1,0,0,1,0,1,0,0,0,1,
125,1,1,1,1,1,1,1,1,1,0,
130,0,1,1,0,1,0,1,1,1,1,
135,1,0,0,1,0,1,0,0,0,1,
140,1,1,1,1,1,1,1,1,1,0,
145,0,1,1,0,1,0,1,1,1,1,
150,1,0,0,1,0,1,0,0,0,1,
155,1,1,1,1,1,1,1,1,1,0,
160,0,1,1,0,1,0,1,1,1,1,
165,1,0,0,1,0,1,0,0,0,1,
170,1,1,1,1,1,1,1,1,1,0,
175,0,1,1,0,1,0,1,1,1,1,
180,1,0,0,1,0,1,0,0,0,1,
185,1,1,1,1,1,1,1,1,1,0,
190,0,1,1,0,1,0,1,1,1,1,
195,1,0,0,1,0,1,0,0,0,1,
200,1,1,1,1,1,1,1,1,1,0,
205,0,1,1,0,1,0,1,1,1,1,
210,1,0,0,1,0,1,0,0,0,1,
215,1,1,1,1,1,1,1,1,1,0,
220,0,1,1,0,1,0,1,1,1,1,
225,1,0,0,1,0,1,0,0,0,1,
230,1,1,1,1,1,1,1,1,1,0,
235,0,1,1,0,1,0,1,1,1,1,
240,1,0,0,1,0,1,0,0,0,1,
245,1,1,1,1,1,1,1,1,1,0,
250,0,1,1,0,1,0,1,1,1,1,
255,1,0,0,1,0,1,0,0,0,1,
260,1,1,1,1,1,1,1,1,1,0,
265,0,1,1,0,1,0,1,1,1,1,
270,1,0,0,1,0,1,0,0,0,1,
275,1,1,1,1,1,1,1,1,1,0,
280,0,1,1,0,1,0,1,1,1,1,
285,1,0,0,1,0,1,0,0,0,1,
290,1,1,1,1,1,1,1,1,1,0,
295,0,1,1,0,1,0,1,1,1,1,
300,1,0,0,1,0,1,0,0,0,1,
