ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,1,0,0,1,0,1,1,0,0,0,
5,0,-1,-1,0,-1,0,-1,-1,-1,-1,
10,1,0,0,1,0,1,0,0,0,1,
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
20,0,-1,-1,0,-1,0,-1,-1,-1,-1,
25,1,0,0,1,0,1,0,0,0,1,
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
35,0,-1,-1,0,-1,0,-1,-1,-1,-1,
40,1,0,0,1,0,1,0,0,0,1,
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
50,0,-1,-1,0,-1,0,-1,-1,-1,-1,
55,1,0,0,1,0,1,0,0,0,1,
60,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
65,0,-1,-1,0,-1,0,-1,-1,-1,-1,
70,1,0,0,1,0,1,0,0,0,1,
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
80,0,-1,-1,0,-1,0,-1,-1,-1,-1,
85,1,0,0,1,0,1,0,0,0,1,
90,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
95,0,-1,-1,0,-1,0,-1,-1,-1,-1,
100,1,0,0,1,0,1,0,0,0,1,
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
110,0,-1,-1,0,-1,0,-1,-1,-1,-1,
115,1,0,0,1,0,1,0,0,0,1,
120,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
125,0,-1,-1,0,-1,0,-1,-1,-1,-1,
130,1,0,0,1,0,1,0,0,0,1,
135,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
140,0,-1,-1,0,-1,0,-1,-1,-1,-1,
145,1,0,0,1,0,1,0,0,0,1,
150,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
155,0,-1,-1,0,-1,0,-1,-1,-1,-1,
160,1,0,0,1,0,1,0,0,0,1,
165,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
170,0,-1,-1,0,-1,0,-1,-1,-1,-1,
175,1,0,0,1,0,1,0,0,0,1,
180,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
185,0,-1,-1,0,-1,0,-1,-1,-1,-1,
190,1,0,0,1,0,1,0,0,0,1,
195,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
200,0,-1,-1,0,-1,0,-1,-1,-1,-1,
205,1,0,0,1,0,1,0,0,0,1,
210,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
215,0,-1,-1,0,-1,0,-1,-1,-1,-1,
220,1,0,0,1,0,1,0,0,0,1,
225,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
230,0,-1,-1,0,-1,0,-1,-1,-1,-1,
235,1,0,0,1,0,1,0,0,0,1,
240,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
245,0,-1,-1,0,-1,0,-1,-1,-1,-1,
250,1,0,0,1,0,1,0,0,0,1,
255,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
260,0,-1,-1,0,-1,0,-1,-1,-1,-1,
265,1,0,0,1,0,1,0,0,0,1,
270,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
275,0,-1,-1,0,-1,0,-1,-1,-1,-1,
280,1,0,0,1,0,1,0,0,0,1,
285,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
290,0,-1,-1,0,-1,0,-1,-1,-1,-1,
295,1,0,0,1,0,1,0,0,0,1,
300,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,
