ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,2,2,0,4,5,6,7,5,6,0,
5,6,6,6,6,6,6,6,6,6,6,
10,6,6,6,6,6,6,6,6,6,6,
15,6,6,6,6,6,6,6,6,6,6,
20,6,6,6,6,6,6,6,6,6,6,
25,6,6,6,6,6,6,6,6,6,6,
30,6,6,6,6,6,6,6,6,6,6,
35,6,6,6,6,6,6,6,6,6,6,
40,6,6,6,6,6,6,6,6,6,6,
45,6,6,6,6,6,6,6,6,6,6,
50,6,6,6,6,6,6,6,6,6,6,
55,6,6,6,6,6,6,6,6,6,6,
60,6,6,6,6,6,6,6,6,6,6,
65,6,6,6,6,6,6,6,6,6,6,
70,6,6,6,6,6,6,6,6,6,6,
75,6,6,6,6,6,6,6,6,6,6,
80,6,6,6,6,6,6,6,6,6,6,
85,6,6,6,6,6,6,6,6,6,6,
90,6,6,6,6,6,6,6,6,6,6,
95,6,6,6,6,6,6,6,6,6,6,
100,6,6,6,6,6,6,6,6,6,6,
105,6,6,6,6,6,6,6,6,6,6,
110,6,6,6,6,6,6,6,6,6,6,
115,6,6,6,6,6,6,6,6,6,6,
120,6,6,6,6,6,6,6,6,6,6,
125,6,6,6,6,6,6,6,6,6,6,
130,6,6,6,6,6,6,6,6,6,6,
135,6,6,6,6,6,6,6,6,6,6,
140,6,6,6,6,6,6,6,6,6,6,
145,6,6,6,6,6,6,6,6,6,6,
150,6,6,6,6,6,6,6,6,6,6,
155,6,6,6,6,6,6,6,6,6,6,
160,6,6,6,6,6,6,6,6,6,6,
165,6,6,6,6,6,6,6,6,6,6,
170,6,6,6,6,6,6,6,6,6,6,
175,6,6,6,6,6,6,6,6,6,6,
180,6,6,6,6,6,6,6,6,6,6,
185,6,6,6,6,6,6,6,6,6,6,
190,6,6,6,6,6,6,6,6,6,6,
195,6,6,6,6,6,6,6,6,6,6,
200,6,6,6,6,6,6,6,6,6,6,
205,6,6,6,6,6,6,6,6,6,6,
210,6,6,6,6,6,6,6,6,6,6,
215,6,6,6,6,6,6,6,6,6,6,
220,6,6,6,6,6,6,6,6,6,6,
225,6,6,6,6,6,6,6,6,6,6,
230,6,6,6,6,6,6,6,6,6,6,
235,6,6,6,6,6,6,6,6,6,6,
240,6,6,6,6,6,6,6,6,6,6,
245,6,6,6,6,6,6,6,6,6,6,
250,6,6,6,6,6,6,6,6,6,6,
255,6,6,6,6,6,6,6,6,6,6,
260,6,6,6,6,6,6,6,6,6,6,
265,6,6,6,6,6,6,6,6,6,6,
270,6,6,6,6,6,6,6,6,6,6,
275,6,6,6,6,6,6,6,6,6,6,
280,6,6,6,6,6,6,6,6,6,6,
285,6,6,6,6,6,6,6,6,6,6,
290,6,6,6,6,6,6,6,6,6,6,
295,6,6,6,6,6,6,6,6,6,6,
300,6,6,6,6,6,6,6,6,6,6,
