ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,5,4,7,5,1,5,6,1,5,2,
5,5,5,5,5,5,5,5,5,5,6,
10,5,5,5,5,5,5,5,6,5,6,
15,5,6,6,5,6,5,6,6,6,6,
20,5,5,5,5,5,5,5,5,5,6,
25,5,5,5,5,5,5,5,6,6,6,
30,5,6,6,5,6,5,6,6,6,6,
35,5,5,5,5,5,5,5,5,5,6,
40,5,5,5,5,5,5,5,5,5,6,
45,5,6,6,5,6,5,6,6,6,6,
50,5,5,5,5,5,5,5,5,5,6,
55,5,5,5,5,5,5,5,5,6,6,
60,5,6,6,5,6,5,6,6,6,6,
65,5,5,5,5,5,5,5,5,5,6,
70,5,5,6,5,5,5,5,6,6,6,
75,5,6,6,5,6,5,6,6,6,6,
80,5,5,5,5,5,5,5,5,5,6,
85,5,5,5,5,5,5,5,6,6,6,
90,5,6,6,5,6,5,6,6,6,6,
95,5,5,5,5,5,5,5,5,5,6,
100,5,5,5,5,6,5,5,6,6,6,
105,5,6,6,5,6,5,6,6,6,6,
110,5,5,5,5,5,5,5,5,5,6,
115,5,5,6,5,5,5,5,5,6,6,
120,5,6,6,5,6,5,6,6,6,6,
125,5,5,5,5,5,5,5,5,5,6,
130,5,5,5,5,5,5,5,5,5,6,
135,5,6,6,5,6,5,6,6,6,6,
140,5,5,5,5,5,5,5,5,5,6,
145,5,5,5,5,6,5,6,6,6,6,
150,5,6,6,5,6,5,6,6,6,6,
155,5,5,5,5,5,5,5,5,5,6,
160,5,6,5,5,5,5,5,6,5,6,
165,5,6,6,5,6,5,6,6,6,6,
170,5,5,5,5,5,5,5,5,5,6,
175,5,5,5,5,5,5,5,5,5,6,
180,5,6,6,5,6,5,6,6,6,6,
185,5,5,5,5,5,5,5,5,5,6,
190,5,5,5,5,5,5,5,5,6,6,
195,5,6,6,5,6,5,6,6,6,6,
200,5,5,5,5,5,5,5,5,5,6,
205,5,5,5,5,5,5,5,5,6,6,
210,5,6,6,5,6,5,6,6,6,6,
215,5,5,5,5,5,5,5,5,5,6,
220,5,5,5,5,5,5,5,5,6,6,
225,5,6,6,5,6,5,6,6,6,6,
230,5,5,5,5,5,5,5,5,5,6,
235,5,5,6,5,5,5,6,6,5,6,
240,5,6,6,5,6,5,6,6,6,6,
245,5,5,5,5,5,5,5,5,5,6,
250,5,5,5,5,5,5,5,6,5,6,
255,5,6,6,5,6,5,6,6,6,6,
260,5,5,5,5,5,5,5,5,5,6,
265,5,5,5,5,5,5,6,5,6,6,
270,5,6,6,5,6,5,6,6,6,6,
275,5,5,5,5,5,5,5,5,5,6,
280,5,6,5,5,5,5,6,5,6,6,
285,5,6,6,5,6,5,6,6,6,6,
290,5,5,5,5,5,5,5,5,5,6,
295,5,5,5,5,6,5,5,6,5,6,
300,5,6,6,5,6,5,6,6,6,6,
