ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,4,1,7,6,7,6,6,0,3,7,
5,1,1,1,1,1,1,1,1,1,7,
10,1,1,1,1,1,1,1,1,1,7,
15,1,1,1,1,1,1,1,1,1,7,
20,1,1,1,1,1,1,1,1,1,7,
25,1,1,1,1,1,1,1,1,1,7,
30,1,1,1,1,1,1,1,1,1,7,
35,1,1,1,1,1,1,1,1,1,7,
40,1,1,1,1,1,1,1,1,1,7,
45,1,1,1,1,1,1,1,1,1,7,
50,1,1,1,1,1,1,1,1,1,7,
55,1,1,1,1,1,1,1,1,1,7,
60,1,1,1,1,1,1,1,1,1,7,
65,1,1,1,1,1,1,1,1,1,7,
70,1,1,1,1,1,1,1,1,1,7,
75,1,1,1,1,1,1,1,1,1,7,
80,1,1,1,1,1,1,1,1,1,7,
85,1,1,1,1,1,1,1,1,1,7,
90,1,1,1,1,1,1,1,1,1,7,
95,1,1,1,1,1,1,1,1,1,7,
100,1,1,1,1,1,1,1,1,1,7,
105,1,1,1,1,1,1,1,1,1,7,
110,1,1,1,1,1,1,1,1,1,7,
115,1,1,1,1,1,1,1,1,1,7,
120,1,1,1,1,1,1,1,1,1,7,
125,1,1,1,1,1,1,1,1,1,7,
130,1,1,1,1,1,1,1,1,1,7,
135,1,1,1,1,1,1,1,1,1,7,
140,1,1,1,1,1,1,1,1,1,7,
145,1,1,1,1,1,1,1,1,1,7,
150,1,1,1,1,1,1,1,1,1,7,
155,1,1,1,1,1,1,1,1,1,7,
160,1,1,1,1,1,1,1,1,1,7,
165,1,1,1,1,1,1,1,1,1,7,
170,1,1,1,1,1,1,1,1,1,7,
175,1,1,1,1,1,1,1,1,1,7,
180,1,1,1,1,1,1,1,1,1,7,
185,1,1,1,1,1,1,1,1,1,7,
190,1,1,1,1,1,1,1,1,1,7,
195,1,1,1,1,1,1,1,1,1,7,
200,1,1,1,1,1,1,1,1,1,7,
205,1,1,1,1,1,1,1,1,1,7,
210,1,1,1,1,1,1,1,1,1,7,
215,1,1,1,1,1,1,1,1,1,7,
220,1,1,1,1,1,1,1,1,1,7,
225,1,1,1,1,1,1,1,1,1,7,
230,1,1,1,1,1,1,1,1,1,7,
235,1,1,1,1,1,1,1,1,1,7,
240,1,1,1,1,1,1,1,1,1,7,
245,1,1,1,1,1,1,1,1,1,7,
250,1,1,1,1,1,1,1,1,1,7,
255,1,1,1,1,1,1,1,1,1,7,
260,1,1,1,1,1,1,1,1,1,7,
265,1,1,1,1,1,1,1,1,1,7,
270,1,1,1,1,1,1,1,1,1,7,
275,1,1,1,1,1,1,1,1,1,7,
280,1,1,1,1,1,1,1,1,1,7,
285,1,1,1,1,1,1,1,1,1,7,
290,1,1,1,1,1,1,1,1,1,7,
295,1,1,1,1,1,1,1,1,1,7,
300,1,1,1,1,1,1,1,1,1,7,
