ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,-1,0,0,-1,-1,-1,0,-1,-1,0,
5,1,0,0,1,0,0,0,0,0,0,
10,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
15,1,0,0,1,0,0,0,0,0,0,
20,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
25,1,0,0,1,0,0,0,0,0,0,
30,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
35,1,0,0,1,0,0,0,0,0,0,
40,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
45,1,0,0,1,0,0,0,0,0,0,
50,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
55,1,0,0,1,0,0,0,0,0,0,
60,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
65,1,0,0,1,0,0,0,0,0,0,
70,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
75,1,0,0,1,0,0,0,0,0,0,
80,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
85,1,0,0,1,0,0,0,0,0,0,
90,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
95,1,0,0,1,0,0,0,0,0,0,
100,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
105,1,0,0,1,0,0,0,0,0,0,
110,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
115,1,0,0,1,0,0,0,0,0,0,
120,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
125,1,0,0,1,0,0,0,0,0,0,
130,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
135,1,0,0,1,0,0,0,0,0,0,
140,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
145,1,0,0,1,0,0,0,0,0,0,
150,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
155,1,0,0,1,0,0,0,0,0,0,
160,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
165,1,0,0,1,0,0,0,0,0,0,
170,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
175,1,0,0,1,0,0,0,0,0,0,
180,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
185,1,0,0,1,0,0,0,0,0,0,
190,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
195,1,0,0,1,0,0,0,0,0,0,
200,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
205,1,0,0,1,0,0,0,0,0,0,
210,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
215,1,0,0,1,0,0,0,0,0,0,
220,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
225,1,0,0,1,0,0,0,0,0,0,
230,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
235,1,0,0,1,0,0,0,0,0,0,
240,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
245,1,0,0,1,0,0,0,0,0,0,
250,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
255,1,0,0,1,0,0,0,0,0,0,
260,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
265,1,0,0,1,0,0,0,0,0,0,
270,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
275,1,0,0,1,0,0,0,0,0,0,
280,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
285,1,0,0,1,0,0,0,0,0,0,
290,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
295,1,0,0,1,0,0,0,0,0,0,
300,0,-1,-1,0,-1,-1,-1,-1,-1,-1,
