ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,0,4,7,2,0,4,3,5,0,6,
5,4,6,4,4,4,4,4,4,6,4,
10,4,6,4,4,4,4,4,4,6,4,
15,4,6,4,4,4,4,4,4,6,4,
20,4,6,4,4,4,4,4,4,6,4,
25,4,6,4,4,4,4,4,4,6,4,
30,4,6,4,4,4,4,4,4,6,4,
35,4,6,4,4,4,4,4,4,6,4,
40,4,6,4,4,4,4,4,4,6,4,
45,4,6,4,4,4,4,4,4,6,4,
50,4,6,4,4,4,4,4,4,6,4,
55,4,6,4,4,4,4,4,4,6,4,
60,4,6,4,4,4,4,4,4,6,4,
65,4,6,4,4,4,4,4,4,6,4,
70,4,6,4,4,4,4,4,4,6,4,
75,4,6,4,4,4,4,4,4,6,4,
80,4,6,4,4,4,4,4,4,6,4,
85,4,6,4,4,4,4,4,4,6,4,
90,4,6,4,4,4,4,4,4,6,4,
95,4,6,4,4,4,4,4,4,6,4,
100,4,6,4,4,4,4,4,4,6,4,
105,4,6,4,4,4,4,4,4,6,4,
110,4,6,4,4,4,4,4,4,6,4,
115,4,6,4,4,4,4,4,4,6,4,
120,4,6,4,4,4,4,4,4,6,4,
125,4,6,4,4,4,4,4,4,6,4,
130,4,6,4,4,4,4,4,4,6,4,
135,4,6,4,4,4,4,4,4,6,4,
140,4,6,4,4,4,4,4,4,6,4,
145,4,6,4,4,4,4,4,4,6,4,
150,4,6,4,4,4,4,4,4,6,4,
155,4,6,4,4,4,4,4,4,6,4,
160,4,6,4,4,4,4,4,4,6,4,
165,4,6,4,4,4,4,4,4,6,4,
170,4,6,4,4,4,4,4,4,6,4,
175,4,6,4,4,4,4,4,4,6,4,
180,4,6,4,4,4,4,4,4,6,4,
185,4,6,4,4,4,4,4,4,6,4,
190,4,6,4,4,4,4,4,4,6,4,
195,4,6,4,4,4,4,4,4,6,4,
200,4,6,4,4,4,4,4,4,6,4,
205,4,6,4,4,4,4,4,4,6,4,
210,4,6,4,4,4,4,4,4,6,4,
215,4,6,4,4,4,4,4,4,6,4,
220,4,6,4,4,4,4,4,4,6,4,
225,4,6,4,4,4,4,4,4,6,4,
230,4,6,4,4,4,4,4,4,6,4,
235,4,6,4,4,4,4,4,4,6,4,
240,4,6,4,4,4,4,4,4,6,4,
245,4,6,4,4,4,4,4,4,6,4,
250,4,6,4,4,4,4,4,4,6,4,
255,4,6,4,4,4,4,4,4,6,4,
260,4,6,4,4,4,4,4,4,6,4,
265,4,6,4,4,4,4,4,4,6,4,
270,4,6,4,4,4,4,4,4,6,4,
275,4,6,4,4,4,4,4,4,6,4,
280,4,6,4,4,4,4,4,4,6,4,
285,4,6,4,4,4,4,4,4,6,4,
290,4,6,4,4,4,4,4,4,6,4,
295,4,6,4,4,4,4,4,4,6,4,
300,4,6,4,4,4,4,4,4,6,4,
