ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,1,1,0,0,1,1,1,0,1,0,
5,1,0,0,1,1,0,0,0,0,1,
10,0,1,1,0,0,1,1,1,1,0,
15,1,0,0,1,1,0,0,0,0,1,
20,0,1,1,0,0,1,1,1,1,0,
25,1,0,0,1,1,0,0,0,0,1,
30,0,1,1,0,0,1,1,1,1,0,
35,1,0,0,1,1,0,0,0,0,1,
40,0,1,1,0,0,1,1,1,1,0,
45,1,0,0,1,1,0,0,0,0,1,
50,0,1,1,0,0,1,1,1,1,0,
55,1,0,0,1,1,0,0,0,0,1,
60,0,1,1,0,0,1,1,1,1,0,
65,1,0,0,1,1,0,0,0,0,1,
70,0,1,1,0,0,1,1,1,1,0,
75,1,0,0,1,1,0,0,0,0,1,
80,0,1,1,0,0,1,1,1,1,0,
85,1,0,0,1,1,0,0,0,0,1,
90,0,1,1,0,0,1,1,1,1,0,
95,1,0,0,1,1,0,0,0,0,1,
100,0,1,1,0,0,1,1,1,1,0,
105,1,0,0,1,1,0,0,0,0,1,
110,0,1,1,0,0,1,1,1,1,0,
115,1,0,0,1,1,0,0,0,0,1,
120,0,1,1,0,0,1,1,1,1,0,
125,1,0,0,1,1,0,0,0,0,1,
130,0,1,1,0,0,1,1,1,1,0,
135,1,0,0,1,1,0,0,0,0,1,
140,0,1,1,0,0,1,1,1,1,0,
145,1,0,0,1,1,0,0,0,0,1,
150,0,1,1,0,0,1,1,1,1,0,
155,1,0,0,1,1,0,0,0,0,1,
160,0,1,1,0,0,1,1,1,1,0,
165,1,0,0,1,1,0,0,0,0,1,
170,0,1,1,0,0,1,1,1,1,0,
175,1,0,0,1,1,0,0,0,0,1,
180,0,1,1,0,0,1,1,1,1,0,
185,1,0,0,1,1,0,0,0,0,1,
190,0,1,1,0,0,1,1,1,1,0,
195,1,0,0,1,1,0,0,0,0,1,
200,0,1,1,0,0,1,1,1,1,0,
205,1,0,0,1,1,0,0,0,0,1,
210,0,1,1,0,0,1,1,1,1,0,
215,1,0,0,1,1,0,0,0,0,1,
220,0,1,1,0,0,1,1,1,1,0,
225,1,0,0,1,1,0,0,0,0,1,
230,0,1,1,0,0,1,1,1,1,0,
235,1,0,0,1,1,0,0,0,0,1,
240,0,1,1,0,0,1,1,1,1,0,
245,1,0,0,1,1,0,0,0,0,1,
250,0,1,1,0,0,1,1,1,1,0,
255,1,0,0,1,1,0,0,0,0,1,
260,0,1,1,0,0,1,1,1,1,0,
265,1,0,0,1,1,0,0,0,0,1,
270,0,1,1,0,0,1,1,1,1,0,
275,1,0,0,1,1,0,0,0,0,1,
280,0,1,1,0,0,1,1,1,1,0,
285,1,0,0,1,1,0,0,0,0,1,
290,0,1,1,0,0,1,1,1,1,0,
295,1,0,0,1,1,0,0,0,0,1,
300,0,1,1,0,0,1,1,1,1,0,
