ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,3,2,2,6,2,6,2,6,5,7,
5,3,7,7,5,5,5,7,7,5,7,
10,3,7,7,5,5,5,7,7,5,7,
15,3,7,7,5,5,5,7,7,5,7,
20,3,7,7,5,5,5,7,7,5,7,
25,3,7,7,5,5,5,7,7,5,7,
30,3,7,7,5,5,5,7,7,5,7,
35,3,7,7,5,5,5,7,7,5,7,
40,3,7,7,5,5,5,7,7,5,7,
45,3,7,7,5,5,5,7,7,5,7,
50,3,7,7,5,5,5,7,7,5,7,
55,3,7,7,5,5,5,7,7,5,7,
60,3,7,7,5,5,5,7,7,5,7,
65,3,7,7,5,5,5,7,7,5,7,
70,3,7,7,5,5,5,7,7,5,7,
75,3,7,7,5,5,5,7,7,5,7,
80,3,7,7,5,5,5,7,7,5,7,
85,3,7,7,5,5,5,7,7,5,7,
90,3,7,7,5,5,5,7,7,5,7,
95,3,7,7,5,5,5,7,7,5,7,
100,3,7,7,5,5,5,7,7,5,7,
105,3,7,7,5,5,5,7,7,5,7,
110,3,7,7,5,5,5,7,7,5,7,
115,3,7,7,5,5,5,7,7,5,7,
120,3,7,7,5,5,5,7,7,5,7,
125,3,7,7,5,5,5,7,7,5,7,
130,3,7,7,5,5,5,7,7,5,7,
135,3,7,7,5,5,5,7,7,5,7,
140,3,7,7,5,5,5,7,7,5,7,
145,3,7,7,5,5,5,7,7,5,7,
150,3,7,7,5,5,5,7,7,5,7,
155,3,7,7,5,5,5,7,7,5,7,
160,3,7,7,5,5,5,7,7,5,7,
165,3,7,7,5,5,5,7,7,5,7,
170,3,7,7,5,5,5,7,7,5,7,
175,3,7,7,5,5,5,7,7,5,7,
180,3,7,7,5,5,5,7,7,5,7,
185,3,7,7,5,5,5,7,7,5,7,
190,3,7,7,5,5,5,7,7,5,7,
195,3,7,7,5,5,5,7,7,5,7,
200,3,7,7,5,5,5,7,7,5,7,
205,3,7,7,5,5,5,7,7,5,7,
210,3,7,7,5,5,5,7,7,5,7,
215,3,7,7,5,5,5,7,7,5,7,
220,3,7,7,5,5,5,7,7,5,7,
225,3,7,7,5,5,5,7,7,5,7,
230,3,7,7,5,5,5,7,7,5,7,
235,3,7,7,5,5,5,7,7,5,7,
240,3,7,7,5,5,5,7,7,5,7,
245,3,7,7,5,5,5,7,7,5,7,
250,3,7,7,5,5,5,7,7,5,7,
255,3,7,7,5,5,5,7,7,5,7,
260,3,7,7,5,5,5,7,7,5,7,
265,3,7,7,5,5,5,7,7,5,7,
270,3,7,7,5,5,5,7,7,5,7,
275,3,7,7,5,5,5,7,7,5,7,
280,3,7,7,5,5,5,7,7,5,7,
285,3,7,7,5,5,5,7,7,5,7,
290,3,7,7,5,5,5,7,7,5,7,
295,3,7,7,5,5,5,7,7,5,7,
300,3,7,7,5,5,5,7,7,5,7,
