ROUND,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,
0,-1,-1,0,0,-1,-1,-1,0,-1,0,
5,0,-1,-1,0,0,-1,-1,-1,-1,0,
10,1,0,0,1,1,0,0,0,0,1,
15,0,-1,-1,0,0,-1,-1,-1,-1,0,
20,1,0,0,1,1,0,0,0,0,1,
25,0,-1,-1,0,0,-1,-1,-1,-1,0,
30,1,0,0,1,1,0,0,0,0,1,
35,0,-1,-1,0,0,-1,-1,-1,-1,0,
40,1,0,0,1,1,0,0,0,0,1,
45,0,-1,-1,0,0,-1,-1,-1,-1,0,
50,1,0,0,1,1,0,0,0,0,1,
55,0,-1,-1,0,0,-1,-1,-1,-1,0,
60,1,0,0,1,1,0,0,0,0,1,
65,0,-1,-1,0,0,-1,-1,-1,-1,0,
70,1,0,0,1,1,0,0,0,0,1,
75,0,-1,-1,0,0,-1,-1,-1,-1,0,
80,1,0,0,1,1,0,0,0,0,1,
85,0,-1,-1,0,0,-1,-1,-1,-1,0,
90,1,0,0,1,1,0,0,0,0,1,
95,0,-1,-1,0,0,-1,-1,-1,-1,0,
100,1,0,0,1,1,0,0,0,0,1,
105,0,-1,-1,0,0,-1,-1,-1,-1,0,
110,1,0,0,1,1,0,0,0,0,1,
115,0,-1,-1,0,0,-1,-1,-1,-1,0,
120,1,0,0,1,1,0,0,0,0,1,
125,0,-1,-1,0,0,-1,-1,-1,-1,0,
130,1,0,0,1,1,0,0,0,0,1,
135,0,-1,-1,0,0,-1,-1,-1,-1,0,
140,1,0,0,1,1,0,0,0,0,1,
145,0,-1,-1,0,0,-1,-1,-1,-1,0,
150,1,0,0,1,1,0,0,0,0,1,
155,0,-1,-1,0,0,-1,-1,-1,-1,0,
160,1,0,0,1,1,0,0,0,0,1,
165,0,-1,-1,0,0,-1,-1,-1,-1,0,
170,1,0,0,1,1,0,0,0,0,1,
175,0,-1,-1,0,0,-1,-1,-1,-1,0,
180,1,0,0,1,1,0,0,0,0,1,
185,0,-1,-1,0,0,-1,-1,-1,-1,0,
190,1,0,0,1,1,0,0,0,0,1,
195,0,-1,-1,0,0,-1,-1,-1,-1,0,
200,1,0,0,1,1,0,0,0,0,1,
205,0,-1,-1,0,0,-1,-1,-1,-1,0,
210,1,0,0,1,1,0,0,0,0,1,
215,0,-1,-1,0,0,-1,-1,-1,-1,0,
220,1,0,0,1,1,0,0,0,0,1,
225,0,-1,-1,0,0,-1,-1,-1,-1,0,
230,1,0,0,1,1,0,0,0,0,1,
235,0,-1,-1,0,0,-1,-1,-1,-1,0,
240,1,0,0,1,1,0,0,0,0,1,
245,0,-1,-1,0,0,-1,-1,-1,-1,0,
250,1,0,0,1,1,0,0,0,0,1,
255,0,-1,-1,0,0,-1,-1,-1,-1,0,
260,1,0,0,1,1,0,0,0,0,1,
265,0,-1,-1,0,0,-1,-1,-1,-1,0,
270,1,0,0,1,1,0,0,0,0,1,
275,0,-1,-1,0,0,-1,-1,-1,-1,0,
280,1,0,0,1,1,0,0,0,0,1,
285,0,-1,-1,0,0,-1,-1,-1,-1,0,
290,1,0,0,1,1,0,0,0,0,1,
295,0,-1,-1,0,0,-1,-1,-1,-1,0,
300,1,0,0,1,1,0,0,0,0,1,
